net,length_um
reg_file.memory\[7\]\[23\],23.86
_0872_,23.84
_0926_,23.84
_1449_,23.8
reg_file.memory\[5\]\[15\],23.8
_0998_,23.74
reg_file.memory\[0\]\[18\],23.74
_0768_,23.68
_2002_,23.68
_2127_,23.68
_1457_,23.66
_1839_,23.66
_1231_,23.54
_2862_,23.54
_0964_,23.5
_0780_,23.46
_2023_,23.46
_1237_,23.44
_2239_,23.42
_0836_,23.38
_0906_,23.38
reg_file.memory\[2\]\[21\],23.38
_2326_,23.26
_1890_,23.22
_0512_,23.2
_2404_,23.185
reg_file.memory\[5\]\[17\],23.18
_1255_,23.16
_1606_,22.96
_2748_,22.92
reg_file.memory\[5\]\[22\],22.92
net6,22.9
seven_seg_conv.temp\[9\],22.88
_0137_,22.875
_1194_,22.86
_1621_,22.7
_1077_,22.66
_1216_,22.66
_0889_,22.62
clk_div.counter\[13\],22.56
_1716_,22.54
_2074_,22.54
reg_file.memory\[5\]\[3\],22.5
reg_file.memory\[7\]\[6\],22.5
_2778_,22.48
_2580_,22.46
_1586_,22.45
_1175_,22.42
_0685_,22.4
_0903_,22.4
_0387_,22.325
_1517_,22.28
_0957_,22.26
_2656_,22.22
_1181_,22.18
_1263_,22.12
_2151_,22.08
_1362_,22.06
_2861_,22.06
_1483_,22.02
reg_file.memory\[10\]\[31\],22.02
_2042_,22
_2137_,21.92
_1027_,21.88
_2868_,21.88
_1006_,21.86
_0627_,21.84
_1302_,21.8
_0861_,21.78
_1823_,21.72
reg_file.memory\[10\]\[28\],21.66
clk_div.counter\[15\],21.64
_1400_,21.62
_1139_,21.6
reg_file.memory\[5\]\[24\],21.56
_2684_,21.5
_2677_,21.48
_0714_,21.46
_1871_,21.44
_0521_,21.36
_1617_,21.32
_1918_,21.32
_2331_,21.3
clk_div.counter\[14\],21.3
_1470_,21.26
_1818_,21.25
reg_file.memory\[5\]\[18\],21.24
reg_file.memory\[5\]\[30\],21.18
_0739_,21.12
_1595_,21.12
_2544_,21.12
_1536_,21.1
reg_file.memory\[0\]\[26\],21.1
_1509_,21.08
reg_file.memory\[2\]\[26\],21.08
_1185_,21.05
_0234_,21.045
reg_file.memory\[0\]\[1\],21.04
_0279_,21.025
reg_file.memory\[7\]\[4\],21.02
_1853_,20.99
_1487_,20.98
_1690_,20.98
reg_file.memory\[21\]\[21\],20.94
_1830_,20.92
_1959_,20.92
_1624_,20.9
_1358_,20.88
_1122_,20.78
_2252_,20.78
reg_file.memory\[1\]\[30\],20.78
_2757_,20.72
reg_file.memory\[0\]\[7\],20.72
reg_file.memory\[5\]\[23\],20.72
_1409_,20.7
_1817_,20.66
reg_file.memory\[10\]\[24\],20.66
_0514_,20.58
_0530_,20.58
_2742_,20.54
_2164_,20.51
_1725_,20.5
_1755_,20.5
_2330_,20.5
_0416_,20.485
_0941_,20.44
_2626_,20.44
_0844_,20.42
_0070_,20.325
_0977_,20.3
_1454_,20.3
_1912_,20.3
_1230_,20.28
reg_file.memory\[2\]\[13\],20.28
_1774_,20.24
_2494_,20.24
_2065_,20.22
_2315_,20.22
_1589_,20.19
_1356_,20.16
_1249_,20.14
reg_file.memory\[0\]\[22\],20.1
_0910_,20.06
_2200_,20.06
reg_file.memory\[10\]\[7\],20.04
clk_div.counter\[3\],20.02
_2222_,20
clk_div.counter\[1\],20
_1977_,19.92
_1408_,19.86
_1482_,19.79
_1018_,19.78
_1043_,19.76
reg_file.memory\[4\]\[3\],19.76
_2070_,19.74
reg_file.memory\[1\]\[31\],19.74
clk_div.counter\[8\],19.68
_2737_,19.66
reg_file.memory\[15\]\[28\],19.64
reg_file.memory\[15\]\[3\],19.64
_1160_,19.62
_1369_,19.62
_1047_,19.54
_1051_,19.54
_1177_,19.54
_2107_,19.54
reg_file.memory\[0\]\[29\],19.54
_2087_,19.535
_0660_,19.52
_1157_,19.52
reg_file.memory\[7\]\[31\],19.52
_0586_,19.5
reg_file.memory\[0\]\[20\],19.48
_1908_,19.46
_2277_,19.44
reg_file.memory\[5\]\[5\],19.42
_0979_,19.4
_1718_,19.4
_2016_,19.4
_1164_,19.36
_1810_,19.34
clk_div.counter\[5\],19.34
_0808_,19.3
_1032_,19.3
_2363_,19.24
_1229_,19.22
reg_file.memory\[25\]\[27\],19.22
reg_file.memory\[5\]\[6\],19.2
_0520_,19.18
reg_file.memory\[8\]\[0\],19.18
_1552_,19.16
_1923_,19.16
_1101_,19.14
_1533_,19.08
_1331_,19.06
reg_file.memory\[0\]\[15\],19.06
reg_file.memory\[1\]\[9\],19.06
_1238_,19.05
_1885_,19.04
_1439_,18.98
_1543_,18.97
_0944_,18.96
_1361_,18.96
_1661_,18.96
_2594_,18.94
_1127_,18.92
_1539_,18.86
_1900_,18.86
_2154_,18.84
clk_div.counter\[2\],18.84
_1316_,18.82
_2325_,18.82
reg_file.memory\[1\]\[18\],18.74
reg_file.memory\[9\]\[31\],18.73
_1722_,18.7
_2765_,18.7
_1349_,18.68
reg_file.memory\[1\]\[11\],18.68
reg_file.memory\[9\]\[17\],18.66
_0147_,18.64
_1014_,18.64
reg_file.memory\[1\]\[7\],18.64
_1784_,18.62
_0845_,18.6
_2317_,18.59
_0781_,18.56
_2212_,18.56
_2290_,18.56
_2332_,18.56
reg_file.memory\[4\]\[20\],18.54
_0643_,18.52
_2249_,18.48
reg_file.memory\[2\]\[31\],18.48
_2328_,18.46
_1267_,18.4
_1412_,18.38
reg_file.memory\[21\]\[16\],18.38
_2153_,18.36
_0154_,18.345
_1874_,18.32
PC\[3\],18.31
_1473_,18.29
_0975_,18.28
_1261_,18.28
clk_div.counter\[0\],18.28
reg_file.memory\[21\]\[5\],18.28
reg_file.memory\[0\]\[12\],18.27
_1469_,18.26
_1492_,18.24
_2371_,18.22
_1514_,18.12
_0622_,18.1
_1705_,18.1
_1815_,18.08
_2499_,18.08
_0563_,18.06
_0730_,18.06
_1057_,18.06
_1486_,18.04
_1152_,18.02
reg_file.memory\[4\]\[23\],18.02
_1455_,17.96
_2816_,17.96
reg_file.memory\[4\]\[12\],17.94
reg_file.memory\[8\]\[4\],17.94
_0727_,17.93
_1720_,17.92
reg_file.memory\[6\]\[4\],17.9
_2855_,17.88
_1497_,17.86
_1887_,17.86
_0960_,17.84
_1775_,17.84
_1003_,17.8
reg_file.memory\[8\]\[11\],17.8
_0525_,17.78
reg_file.memory\[5\]\[28\],17.78
reg_file.memory\[5\]\[8\],17.78
reg_file.memory\[4\]\[30\],17.74
_2508_,17.7
_1305_,17.66
_1618_,17.66
_1985_,17.64
_1579_,17.62
_1007_,17.6
_1919_,17.6
reg_file.memory\[7\]\[27\],17.6
_0706_,17.58
_0133_,17.565
_1695_,17.56
_1868_,17.56
reg_file.memory\[0\]\[8\],17.56
reg_file.memory\[7\]\[8\],17.56
_0354_,17.545
_0838_,17.52
_1683_,17.52
_1049_,17.48
_2392_,17.46
_2462_,17.46
reg_file.memory\[15\]\[29\],17.46
reg_file.memory\[1\]\[0\],17.44
_1796_,17.42
_2846_,17.42
reg_file.memory\[8\]\[26\],17.42
_1607_,17.4
_1097_,17.38
_0749_,17.34
_1192_,17.32
_1394_,17.32
reg_file.memory\[6\]\[10\],17.32
_0813_,17.3
_0302_,17.285
_0935_,17.28
reg_file.memory\[9\]\[0\],17.28
_0445_,17.265
_0948_,17.26
_1882_,17.26
_1389_,17.24
_1413_,17.24
_0267_,17.22
_2097_,17.22
_2120_,17.22
